gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerLifetimeValue,EstimatedAnnualRevenue,AverageMonthlySpend,ContractWeight,LoyaltyScore,TenureCategory,ServiceCount,RetentionScore,SupportUsageScore,InternetUsageCategory,HighValueCustomer,PremiumCustomer,CustomerValueScore,CustomerRiskScore
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,29.85,358.2,29.85,1,10.7,New Customer,1,5.6,1,Standard Internet,0,0,2.67,96.25
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,1936.3,683.4,56.95,2,43.8,Established Customer,3,35.4,2,Standard Internet,0,0,33.07,55.01
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,107.7,646.2,53.85,1,11.4,New Customer,3,16.2,2,Standard Internet,0,0,8.43,88.25
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,1903.5,507.6,42.3,2,51.5,Established Customer,3,42.0,3,Standard Internet,0,0,36.19,49.48
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,141.4,848.4,70.7,1,11.4,New Customer,1,6.2,0,High-Speed Internet,0,0,3.63,95.75
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,797.2,1195.8,99.65,1,15.6,New Customer,5,29.8,1,High-Speed Internet,0,1,19.27,77.73
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,1960.2,1069.2,89.1,1,25.4,Developing Customer,4,33.2,1,High-Speed Internet,0,0,27.79,74.45
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,297.5,357.0,29.75,1,17.0,New Customer,1,11.0,1,Standard Internet,0,0,6.95,91.73
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,2934.4,1257.6,104.8,1,29.6,Established Customer,6,46.8,2,High-Speed Internet,0,1,40.3,63.94
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,3481.3,673.8,56.15,2,63.4,Loyal Customer,3,52.2,2,Standard Internet,0,0,50.54,40.95
