gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerLifetimeValue,EstimatedAnnualRevenue,AverageMonthlySpend,ContractWeight,LoyaltyScore,TenureCategory,ServiceCount,RetentionScore,SupportUsageScore,InternetUsageCategory,HighValueCustomer,PremiumCustomer,CustomerValueScore,CustomerRiskScore,ActualChurn,PredictedChurnClass,PredictedChurnLabel,ChurnProbability,ChurnProbabilityPercent,ActualChurnLabel,CustomerRiskRank,RiskCategory,RetentionPriority,CustomerValueGroup,BusinessSegment,RecommendedAction,RecommendedOffer,RecommendedChannel,RecommendationReason,RecommendationPriorityScore,RecommendationRank
Female,1,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6401.25,No,6354.0,1270.8,105.9,1,52.0,Loyal Customer,6,66.0,2,High-Speed Internet,1,1,69.93,47.87,0,1,Predicted Churn,0.5589860247403678,55.9,Stayed,1195,High,Monitor,High Value,Protect Immediately,Immediate personalized retention outreach,No immediate financial incentive required,Automated email or in-app message,"elevated predicted churn risk, high customer value, flexible month-to-month contract",61.51,1
Male,1,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.85,5485.5,Yes,5504.05,1246.2,103.85,1,47.1,Loyal Customer,6,61.8,2,High-Speed Internet,1,1,62.85,51.39,1,1,Predicted Churn,0.5999224080575215,59.99,Churned,1017,High,Monitor,High Value,Protect Immediately,Immediate personalized retention outreach,No immediate financial incentive required,Automated email or in-app message,"elevated predicted churn risk, high customer value, flexible month-to-month contract",61.14,2
Male,1,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,5594.0,No,5658.8,1212.6,101.05,1,49.2,Loyal Customer,5,58.6,1,High-Speed Internet,1,1,62.16,53.63,0,1,Predicted Churn,0.6005321359633369,60.05,Stayed,1015,High,High Priority,High Value,Protect Immediately,Immediate personalized retention outreach,Complimentary technical support package,Personalized email and phone follow-up,"elevated predicted churn risk, high customer value, flexible month-to-month contract, limited support-service usage",60.9,3
Male,1,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.35,6578.55,No,6782.75,1252.2,104.35,1,55.5,Loyal Customer,6,69.0,2,High-Speed Internet,1,1,73.95,45.36,0,1,Predicted Churn,0.5173481876076944,51.73,Stayed,1409,High,Monitor,High Value,Protect Immediately,Immediate personalized retention outreach,No immediate financial incentive required,Automated email or in-app message,"elevated predicted churn risk, high customer value, flexible month-to-month contract",60.62,4
Male,1,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,7299.65,Yes,7160.4,1263.6,105.3,1,57.6,Loyal Customer,6,70.8,2,High-Speed Internet,1,1,77.06,43.86,1,0,Predicted Stay,0.4956318213482973,49.56,Churned,1510,Moderate,Monitor,High Value,Maintain Relationship,Maintain loyalty and strengthen engagement,Loyalty reward or premium benefit,Automated email or in-app message,"high customer value, flexible month-to-month contract",60.56,5
Male,1,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.9,5549.4,Yes,5400.7,1222.8,101.9,1,47.1,Loyal Customer,5,56.8,1,High-Speed Internet,1,1,59.75,55.14,1,1,Predicted Churn,0.599838469391017,59.98,Churned,1018,High,Monitor,High Value,Protect Immediately,Immediate personalized retention outreach,Complimentary technical support package,Automated email or in-app message,"elevated predicted churn risk, high customer value, flexible month-to-month contract, limited support-service usage",59.89,6
Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.95,700.85,Yes,713.65,1223.4,101.95,1,14.9,New Customer,5,29.2,1,High-Speed Internet,0,1,18.48,78.24,1,1,Predicted Churn,0.8747542434491469,87.48,Churned,8,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract, limited support-service usage",59.88,7
Female,1,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.5,6479.4,No,6520.5,1242.0,103.5,1,54.1,Loyal Customer,6,67.8,2,High-Speed Internet,1,1,71.81,46.37,0,1,Predicted Churn,0.5190575202040097,51.91,Stayed,1398,High,Monitor,High Value,Protect Immediately,Immediate personalized retention outreach,No immediate financial incentive required,Automated email or in-app message,"elevated predicted churn risk, high customer value, flexible month-to-month contract",59.87,8
Female,1,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.55,1131.2,Yes,1095.05,1194.6,99.55,1,17.7,New Customer,5,31.6,1,High-Speed Internet,0,1,21.92,76.23,1,1,Predicted Churn,0.8512904051077684,85.13,Churned,24,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract, limited support-service usage",59.85,9
Female,1,No,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,829.55,Yes,844.0,1266.0,105.5,1,15.6,New Customer,6,34.8,2,High-Speed Internet,0,1,22.04,73.98,1,1,Predicted Churn,0.8488522179836077,84.89,Churned,32,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract",59.75,10
Male,1,No,No,12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.45,1200.15,Yes,1193.4,1193.4,99.45,1,18.4,New Customer,5,32.2,1,High-Speed Internet,0,1,22.79,75.73,1,1,Predicted Churn,0.8439638378802828,84.4,Churned,38,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract, limited support-service usage",59.75,11
Male,1,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,5812.6,Yes,5724.6,1184.4,98.7,1,50.6,Loyal Customer,5,59.8,1,High-Speed Internet,1,1,63.15,52.63,1,1,Predicted Churn,0.5744297483005949,57.44,Churned,1128,High,Monitor,High Value,Protect Immediately,Immediate personalized retention outreach,Complimentary technical support package,Automated email or in-app message,"elevated predicted churn risk, high customer value, flexible month-to-month contract, limited support-service usage",59.73,12
Male,1,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,918.6,Yes,904.5,1206.0,100.5,1,16.3,New Customer,5,30.4,1,High-Speed Internet,0,1,20.2,77.23,1,1,Predicted Churn,0.8588545531624325,85.89,Churned,18,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract, limited support-service usage",59.61,13
Male,1,No,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.8,4913.3,Yes,4987.8,1173.6,97.8,1,45.7,Loyal Customer,5,55.6,1,High-Speed Internet,1,1,56.73,56.14,1,1,Predicted Churn,0.6142031408825256,61.42,Churned,961,High,High Priority,High Value,Protect Immediately,Immediate personalized retention outreach,Complimentary technical support package,Personalized email and phone follow-up,"elevated predicted churn risk, high customer value, flexible month-to-month contract, limited support-service usage",59.54,14
Male,1,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.6,819.4,Yes,804.8,1207.2,100.6,1,15.6,New Customer,5,29.8,1,High-Speed Internet,0,1,19.32,77.73,1,1,Predicted Churn,0.8628322882917502,86.28,Churned,17,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract, limited support-service usage",59.5,15
Male,1,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,334.65,Yes,317.7,1270.8,105.9,1,12.1,New Customer,6,31.8,2,High-Speed Internet,0,1,17.46,76.5,1,1,Predicted Churn,0.8740553706229084,87.41,Churned,9,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract",59.43,16
Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.25,665.45,Yes,694.75,1191.0,99.25,1,14.9,New Customer,5,29.2,1,High-Speed Internet,0,1,18.37,78.24,1,1,Predicted Churn,0.8678267165795889,86.78,Churned,13,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract, limited support-service usage",59.42,17
Male,1,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,1218.55,Yes,1216.2,1216.2,101.35,1,18.4,New Customer,5,32.2,1,High-Speed Internet,0,1,22.93,75.73,1,1,Predicted Churn,0.8360475530468082,83.6,Churned,45,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract, limited support-service usage",59.33,18
Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.95,7101.5,Yes,7206.5,1235.4,102.95,1,59.0,Loyal Customer,6,72.0,2,High-Speed Internet,1,1,77.93,42.85,1,0,Predicted Stay,0.46584894648695413,46.58,Churned,1671,Moderate,Monitor,High Value,Maintain Relationship,Maintain loyalty and strengthen engagement,Loyalty reward or premium benefit,Automated email or in-app message,"high customer value, flexible month-to-month contract",59.12,19
Male,1,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.65,4284.8,Yes,4120.35,1267.8,105.65,1,37.3,Established Customer,6,53.4,2,High-Speed Internet,1,1,50.54,58.42,1,1,Predicted Churn,0.647308000205908,64.73,Churned,775,High,High Priority,High Value,Protect Immediately,Immediate personalized retention outreach,No immediate financial incentive required,Personalized email and phone follow-up,"elevated predicted churn risk, high customer value, flexible month-to-month contract",59.05,20
Male,1,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.0,294.45,Yes,315.0,1260.0,105.0,1,12.1,New Customer,6,31.8,2,High-Speed Internet,0,1,17.44,76.5,1,1,Predicted Churn,0.867627377808817,86.76,Churned,14,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract",59.03,21
Male,1,No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.75,5832.0,No,5759.0,1329.0,110.75,1,46.4,Loyal Customer,7,66.2,3,High-Speed Internet,1,1,66.54,48.14,0,1,Predicted Churn,0.540149011645063,54.01,Stayed,1287,High,Monitor,High Value,Protect Immediately,Immediate personalized retention outreach,No immediate financial incentive required,Automated email or in-app message,"elevated predicted churn risk, high customer value, flexible month-to-month contract",59.02,22
Male,1,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.2,4718.25,Yes,4713.8,1154.4,96.2,1,44.3,Loyal Customer,4,49.4,0,High-Speed Internet,1,1,52.03,60.9,1,1,Predicted Churn,0.633238192727391,63.32,Churned,850,High,High Priority,High Value,Protect Immediately,Immediate personalized retention outreach,Complimentary technical support package,Personalized email and phone follow-up,"elevated predicted churn risk, high customer value, flexible month-to-month contract, limited support-service usage",58.81,23
Male,1,No,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.4,1183.05,No,1225.4,1336.8,111.4,1,17.7,New Customer,7,41.6,3,High-Speed Internet,0,1,27.68,68.73,0,1,Predicted Churn,0.7949642013632845,79.5,Stayed,143,Critical,High Priority,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Personalized email and phone follow-up,"elevated predicted churn risk, flexible month-to-month contract",58.77,24
Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.8,100.8,Yes,100.8,1209.6,100.8,1,10.7,New Customer,5,25.6,1,High-Speed Internet,0,1,13.09,81.25,1,1,Predicted Churn,0.8896906180093097,88.97,Churned,1,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract, limited support-service usage",58.62,25
Male,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.7,1253.9,Yes,1280.4,1280.4,106.7,1,18.4,New Customer,6,37.2,2,High-Speed Internet,0,1,25.8,71.98,1,1,Predicted Churn,0.8041839709894976,80.42,Churned,120,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract",58.57,26
Male,1,Yes,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.0,4680.05,Yes,4646.0,1212.0,101.0,1,42.2,Established Customer,5,52.6,1,High-Speed Internet,1,1,53.23,58.65,1,1,Predicted Churn,0.6191014553349367,61.91,Churned,936,High,High Priority,High Value,Protect Immediately,Immediate personalized retention outreach,Complimentary technical support package,Personalized email and phone follow-up,"elevated predicted churn risk, high customer value, flexible month-to-month contract, limited support-service usage",58.44,27
Male,1,No,No,50,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.7,4816.7,Yes,4785.0,1148.4,95.7,1,45.0,Loyal Customer,4,50.0,0,High-Speed Internet,1,1,52.75,60.39,1,1,Predicted Churn,0.621803060348712,62.18,Churned,926,High,High Priority,High Value,Protect Immediately,Immediate personalized retention outreach,Complimentary technical support package,Personalized email and phone follow-up,"elevated predicted churn risk, high customer value, flexible month-to-month contract, limited support-service usage",58.41,28
Male,1,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.35,898.35,Yes,953.5,1144.2,95.35,1,17.0,New Customer,4,26.0,0,High-Speed Internet,0,1,18.29,80.48,1,1,Predicted Churn,0.8493885627782294,84.94,Churned,29,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract, limited support-service usage",58.28,29
Male,0,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.3,5278.15,Yes,5632.2,1251.6,104.3,1,47.8,Loyal Customer,6,62.4,2,High-Speed Internet,1,1,63.91,50.89,1,1,Predicted Churn,0.5445044185257382,54.45,Churned,1260,High,Monitor,High Value,Protect Immediately,Immediate personalized retention outreach,No immediate financial incentive required,Automated email or in-app message,"elevated predicted churn risk, high customer value, flexible month-to-month contract",58.23,30
Male,1,Yes,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.8,3437.5,No,3528.0,1209.6,100.8,1,34.5,Established Customer,5,46.0,1,High-Speed Internet,0,1,43.38,64.18,0,1,Predicted Churn,0.6805906396341785,68.06,Stayed,632,High,High Priority,High Value,Protect Immediately,Immediate personalized retention outreach,Complimentary technical support package,Personalized email and phone follow-up,"elevated predicted churn risk, high customer value, flexible month-to-month contract, limited support-service usage",58.19,31
Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.15,6411.25,No,6369.0,1273.8,106.15,1,52.0,Loyal Customer,6,66.0,2,High-Speed Internet,1,1,70.02,47.87,0,1,Predicted Churn,0.502355083272155,50.24,Stayed,1478,High,Monitor,High Value,Protect Immediately,Immediate personalized retention outreach,No immediate financial incentive required,Automated email or in-app message,"elevated predicted churn risk, high customer value, flexible month-to-month contract",58.15,32
Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.55,6281.45,Yes,6438.55,1266.6,105.55,1,52.7,Loyal Customer,6,66.6,2,High-Speed Internet,1,1,70.73,47.37,1,0,Predicted Stay,0.4974600862072469,49.75,Churned,1501,Moderate,Monitor,High Value,Maintain Relationship,Maintain loyalty and strengthen engagement,Loyalty reward or premium benefit,Automated email or in-app message,"high customer value, flexible month-to-month contract",58.14,33
Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,4259.3,Yes,4091.8,1197.6,99.8,1,38.7,Established Customer,5,49.6,1,High-Speed Internet,1,1,48.48,61.16,1,1,Predicted Churn,0.6446994190113625,64.47,Churned,789,High,High Priority,High Value,Protect Immediately,Immediate personalized retention outreach,Complimentary technical support package,Personalized email and phone follow-up,"elevated predicted churn risk, high customer value, flexible month-to-month contract, limited support-service usage",58.07,34
Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes,5462.6,1260.6,105.05,1,46.4,Loyal Customer,6,61.2,2,High-Speed Internet,1,1,62.31,51.89,1,1,Predicted Churn,0.551781101435993,55.18,Churned,1223,High,Monitor,High Value,Protect Immediately,Immediate personalized retention outreach,No immediate financial incentive required,Automated email or in-app message,"elevated predicted churn risk, high customer value, flexible month-to-month contract",58.03,35
Female,1,No,No,50,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.95,5222.35,No,5247.5,1259.4,104.95,1,45.0,Loyal Customer,6,60.0,2,High-Speed Internet,1,1,60.45,52.89,0,1,Predicted Churn,0.5636515696629257,56.37,Stayed,1179,High,Monitor,High Value,Protect Immediately,Immediate personalized retention outreach,No immediate financial incentive required,Automated email or in-app message,"elevated predicted churn risk, high customer value, flexible month-to-month contract",58.0,36
Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.5,1056.95,Yes,1094.5,1194.0,99.5,1,17.7,New Customer,5,31.6,1,High-Speed Internet,0,1,21.91,76.23,1,1,Predicted Churn,0.8196110477552758,81.96,Churned,80,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract, limited support-service usage",57.94,37
Female,1,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,98.1,1060.2,Yes,1177.2,1177.2,98.1,1,18.4,New Customer,5,32.2,2,High-Speed Internet,0,1,22.7,75.73,1,1,Predicted Churn,0.8140985673142568,81.41,Churned,95,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract",57.93,38
Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,545.2,Yes,631.8,1263.6,105.3,1,14.2,New Customer,6,33.6,2,High-Speed Internet,0,1,20.2,74.99,1,1,Predicted Churn,0.8307494433439078,83.07,Churned,50,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract",57.92,39
Female,1,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,4133.95,No,4280.4,1252.8,104.4,1,38.7,Established Customer,6,54.6,2,High-Speed Internet,1,1,52.08,57.41,0,1,Predicted Churn,0.6180558999627942,61.81,Stayed,941,High,High Priority,High Value,Protect Immediately,Immediate personalized retention outreach,No immediate financial incentive required,Personalized email and phone follow-up,"elevated predicted churn risk, high customer value, flexible month-to-month contract",57.92,40
Female,1,No,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.15,3152.5,Yes,2972.2,1273.8,106.15,1,29.6,Established Customer,6,46.8,2,High-Speed Internet,0,1,40.52,63.94,1,1,Predicted Churn,0.695040430159827,69.5,Churned,565,High,High Priority,High Value,Protect Immediately,Immediate personalized retention outreach,No immediate financial incentive required,Personalized email and phone follow-up,"elevated predicted churn risk, high customer value, flexible month-to-month contract",57.91,41
Male,1,No,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.4,3496.3,Yes,3549.0,1216.8,101.4,1,34.5,Established Customer,5,46.0,1,High-Speed Internet,0,1,43.5,64.18,1,1,Predicted Churn,0.6749106976327168,67.49,Churned,656,High,High Priority,High Value,Protect Immediately,Immediate personalized retention outreach,Complimentary technical support package,Personalized email and phone follow-up,"elevated predicted churn risk, high customer value, flexible month-to-month contract, limited support-service usage",57.89,42
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.75,1129.75,Yes,1108.25,1209.0,100.75,1,17.7,New Customer,5,31.6,1,High-Speed Internet,0,1,21.99,76.23,1,1,Predicted Churn,0.8174708348523839,81.75,Churned,89,Critical,Immediate Action,Low Value,Retention Opportunity,Provide cost-effective retention offer,Annual contract discount and loyalty credit,Retention specialist phone call,"elevated predicted churn risk, flexible month-to-month contract, limited support-service usage",57.84,43
Female,1,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.8,6690.75,No,6652.8,1209.6,100.8,1,56.2,Loyal Customer,5,64.6,1,High-Speed Internet,1,1,70.99,48.61,0,0,Predicted Stay,0.49070486624940146,49.07,Stayed,1538,Moderate,Monitor,High Value,Maintain Relationship,Maintain loyalty and strengthen engagement,Loyalty reward or premium benefit,Automated email or in-app message,"high customer value, flexible month-to-month contract, limited support-service usage",57.84,44
Female,1,Yes,No,52,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,109.1,5647.95,No,5673.2,1309.2,109.1,1,46.4,Loyal Customer,7,66.2,3,High-Speed Internet,1,1,66.04,48.14,0,1,Predicted Churn,0.5237176054401799,52.37,Stayed,1371,High,Monitor,High Value,Protect Immediately,Immediate personalized retention outreach,No immediate financial incentive required,Automated email or in-app message,"elevated predicted churn risk, high customer value, flexible month-to-month contract",57.84,45
