CustomerRiskRank,ChurnProbability,ChurnProbabilityPercent,RiskCategory,RetentionPriority
1,0.8896906180093097,88.97,Critical,Immediate Action
2,0.8855628907196009,88.56,Critical,Immediate Action
3,0.878881450210542,87.89,Critical,Immediate Action
4,0.8777935649416633,87.78,Critical,Immediate Action
5,0.87778307300394,87.78,Critical,Immediate Action
6,0.8754847073760299,87.55,Critical,Immediate Action
7,0.8749771953004122,87.5,Critical,Immediate Action
8,0.8747542434491469,87.48,Critical,Immediate Action
9,0.8740553706229084,87.41,Critical,Immediate Action
10,0.8736471912463567,87.36,Critical,Immediate Action
11,0.8735783714962221,87.36,Critical,Immediate Action
12,0.8702947922819868,87.03,Critical,Immediate Action
13,0.8678267165795889,86.78,Critical,Immediate Action
14,0.867627377808817,86.76,Critical,Immediate Action
15,0.8670101850662864,86.7,Critical,Immediate Action
16,0.8630428713954145,86.3,Critical,Immediate Action
17,0.8628322882917502,86.28,Critical,Immediate Action
18,0.8588545531624325,85.89,Critical,Immediate Action
19,0.8572040082629396,85.72,Critical,Immediate Action
20,0.8555108734083781,85.55,Critical,Immediate Action
21,0.8539007538032752,85.39,Critical,Immediate Action
22,0.8515109061538816,85.15,Critical,Immediate Action
23,0.8513822514402449,85.14,Critical,Immediate Action
24,0.8512904051077684,85.13,Critical,Immediate Action
25,0.8512602142657771,85.13,Critical,Immediate Action
26,0.850890559142377,85.09,Critical,Immediate Action
27,0.8499730468531814,85.0,Critical,Immediate Action
28,0.849467840582838,84.95,Critical,Immediate Action
29,0.8493885627782294,84.94,Critical,Immediate Action
30,0.8492225282966447,84.92,Critical,Immediate Action
31,0.8489832822432274,84.9,Critical,Immediate Action
32,0.8488522179836077,84.89,Critical,Immediate Action
33,0.848829790633426,84.88,Critical,Immediate Action
34,0.84781529039725,84.78,Critical,Immediate Action
35,0.8478071195113407,84.78,Critical,Immediate Action
36,0.844544993510888,84.45,Critical,Immediate Action
37,0.8444124623677743,84.44,Critical,Immediate Action
38,0.8439638378802828,84.4,Critical,Immediate Action
39,0.8438725614795335,84.39,Critical,Immediate Action
40,0.8429485877231365,84.29,Critical,Immediate Action
41,0.8410298832246367,84.1,Critical,Immediate Action
42,0.8399159220541813,83.99,Critical,Immediate Action
43,0.8373880703739526,83.74,Critical,Immediate Action
44,0.8364958516948248,83.65,Critical,Immediate Action
45,0.8360475530468082,83.6,Critical,Immediate Action
46,0.8359018868114495,83.59,Critical,Immediate Action
47,0.8342518038999058,83.43,Critical,Immediate Action
48,0.8338182261732998,83.38,Critical,Immediate Action
49,0.8324679747600443,83.25,Critical,Immediate Action
50,0.8307494433439078,83.07,Critical,Immediate Action
51,0.8303458139997493,83.03,Critical,Immediate Action
52,0.8300069026188168,83.0,Critical,Immediate Action
53,0.8297335806070489,82.97,Critical,Immediate Action
54,0.8279618020782423,82.8,Critical,Immediate Action
55,0.8276610195610326,82.77,Critical,Immediate Action
56,0.8274533768502621,82.75,Critical,Immediate Action
57,0.827271670751488,82.73,Critical,Immediate Action
58,0.8272444583208506,82.72,Critical,Immediate Action
59,0.8267675148619871,82.68,Critical,Immediate Action
60,0.8259978215595475,82.6,Critical,Immediate Action
61,0.825950588580492,82.6,Critical,Immediate Action
62,0.8254404344511801,82.54,Critical,Immediate Action
63,0.8253187316544007,82.53,Critical,Immediate Action
64,0.8253068684365076,82.53,Critical,Immediate Action
65,0.8251847492038277,82.52,Critical,Immediate Action
66,0.8248981320720521,82.49,Critical,Immediate Action
67,0.8248555391165816,82.49,Critical,Immediate Action
68,0.8241326917925065,82.41,Critical,Immediate Action
69,0.8240463634152784,82.4,Critical,Immediate Action
70,0.8230419146890723,82.3,Critical,Immediate Action
71,0.8229332802076275,82.29,Critical,Immediate Action
72,0.8220260145356593,82.2,Critical,Immediate Action
73,0.8219911935718223,82.2,Critical,Immediate Action
74,0.8217287868768515,82.17,Critical,Immediate Action
75,0.8216254860477503,82.16,Critical,Immediate Action
76,0.8215724579023862,82.16,Critical,Immediate Action
77,0.8211573034491638,82.12,Critical,Immediate Action
78,0.8209959409008344,82.1,Critical,Immediate Action
79,0.8197951049340243,81.98,Critical,Immediate Action
80,0.8196110477552758,81.96,Critical,Immediate Action
81,0.8195346239940418,81.95,Critical,Immediate Action
82,0.8193206535463767,81.93,Critical,Immediate Action
83,0.8192543962127588,81.93,Critical,Immediate Action
84,0.8192475591669615,81.92,Critical,Immediate Action
85,0.8189315476233217,81.89,Critical,Immediate Action
86,0.8186972358271624,81.87,Critical,Immediate Action
87,0.818540334118743,81.85,Critical,Immediate Action
88,0.818289866845749,81.83,Critical,Immediate Action
89,0.8174708348523839,81.75,Critical,Immediate Action
90,0.8169658992127756,81.7,Critical,Immediate Action
91,0.8164592302660453,81.65,Critical,Immediate Action
92,0.8161169708605143,81.61,Critical,Immediate Action
93,0.816114495076418,81.61,Critical,Immediate Action
94,0.8161033908465233,81.61,Critical,Immediate Action
95,0.8140985673142568,81.41,Critical,Immediate Action
96,0.8136980821315087,81.37,Critical,Immediate Action
97,0.8135897788901865,81.36,Critical,Immediate Action
98,0.813290329009335,81.33,Critical,Immediate Action
99,0.8130653573728186,81.31,Critical,Immediate Action
100,0.8125309710680082,81.25,Critical,Immediate Action
101,0.8124222748387977,81.24,Critical,Immediate Action
102,0.8119122992238402,81.19,Critical,Immediate Action
103,0.8118630136007524,81.19,Critical,Immediate Action
104,0.8116773597628357,81.17,Critical,Immediate Action
105,0.8115510701162341,81.16,Critical,Immediate Action
106,0.8111717740422911,81.12,Critical,Immediate Action
107,0.8102525166576386,81.03,Critical,Immediate Action
108,0.8096368406026718,80.96,Critical,Immediate Action
109,0.8095165931718603,80.95,Critical,Immediate Action
110,0.808988120646259,80.9,Critical,Immediate Action
